순번,선정년도,기업명,구축내용
1,2020,㈜삼정산업,"스틸 보드 평탄도 측정 하드웨어 구축, MES 시스템 구축"
2,2020,㈜선일다이파스,APS MP 시스템 도입
3,2020,솔젠트㈜,"생산공정 부분 자동화 시스템, 바코드를 이용한 재고관리 시스템 등"
4,2020,아신유니텍㈜,"MES 시스템 구축, 바코드 스캔 통한 자재 입출고 관리"
5,2020,㈜에이피테크놀로지,기술유출 방지를 위한 문서 중앙화
6,2020,에코제이푸드,MES시스템 구축
7,2020,주식회사 화요,"MES 시스템 구축, 자재 입출고 QR시스템, 원료-완제품 이력관리시스템"
8,2020,리가스,구축된 MES+POP+SCM 시스템 통합으로 제조 환경 개선
9,2020,㈜세일금형,"전 공정 3D 모델링 도입 및 구축, PLM/SCM 시스템 추진"
10,2020,태림산업㈜,"생산 및 검사데이터일괄 조회 시스템, 생산현황 모니터링 및 분석 시스템"
11,2020,㈜플라이쿱,"기존 MES 고도화, ICT기반 통합 생산관리시스템 구축 및 생산 등"
12,2020,㈜휠트론,"빅데이터 기반 실시간 생산, 품질 분석 및 모니터링을 위한 OEE 등"
13,2020,대양롤랜트㈜,로봇시스템에 연계된 생산정보 수집 체계 구축
14,2020,㈜대정금속,기존POP시스템을 업그레이드한 통합 MES 시스템 구축
15,2020,㈜서울엔지니어링,용접설비 연동 헬륨가스 모니터링 개선
16,2020,아이넴,데이터 수집 집계를 위한 MES 시스템 구축
17,2020,에너토크,"MES 시스템 도입, 인공지능 프로그램 개발 및 운영"
18,2020,㈜연합시스템,"PLM 시스템 구축, NX CAD/CAM과 팀센터 연계"
19,2020,㈜오성전자,PCB Assembly 검사공정 자동화 및 MAC ID 정보화 연계
20,2020,오토스윙,패밀리 혁신을 위한 PLM 시스템 구축
21,2021,에이치엔에스하이텍,MES시스템
22,2021,주식회사 엘브리지,ERP시스템
23,2021,농업회사법인제이엠푸드,MES시스템
24,2021,주식회사 케이이씨 구미사업장,FEMS시스템
25,2021,㈜힘펠,"ERP, MES시스템"
26,2021, 동아연필 주식회사,"ERP, MES, WMS 시스템"
27,2021,㈜비츠로넥스텍,MES시스템
28,2021,아주스틸㈜,"ERP 고도화, 지능형 MES 시스템"
29,2021,엠에스이 주식회사,"ERP, MES, SCM 시스템"
30,2021,㈜한중엔시에스,"PLM, MES, DMS 시스템"
31,2021,대전열병합발전 주식회사,에너지통합정보시스템(SESS+EnMS)
32,2021,새한㈜,"ERP, MES시스템"
33,2021,코젠바이오텍,MES시스템
34,2021,㈜풍림파마텍,MES시스템
35,2021,㈜삼현,"ERP, SCM, PLM, 설비디지털화 등"
36,2021,㈜오토닉스,"ERP, MES, PLM, QMS, CRM 시스템"
37,2021,㈜세일사,"MES, 2액형 실란트 본딩 스마트화 시스템"
38,2021,주식회사 hy,MES시스템
39,2021,일동제약,"MES, ERP, LIMS 시스템"
40,2021,진양제약㈜,"MRP, MES, QES 시스템"
41,2022,웰메이드생활건강,연구분야 신규 구축 및 MES 설비연동 고도화
42,2022,주식회사 엘오티머트리얼즈,"MES, ERP, G/W(그룹웨어)"
43,2022,농업회사법인㈜아침미소,확장형 MES
44,2022,에이엔폴리,POP 및 MES 일부
45,2022,중앙CMI,"전체절곡기 연동 MES, 원가분석시스템 구축"
46,2022,㈜토비스,MES
47,2022,대유에이피,"ESL/설비 PLC 연계 생산실적 인터락 APS 고도화, 자동물류시스템 및  AI 원단 검사시스템 구축"
48,2022,㈜네오넌트,MES
49,2022,메가젠임플란트,자동화시스템 및 협력사 SCM 전산 구축
50,2022,㈜청명,MES
51,2022,㈜원에스티,"실시간 설비모니터링시스템, 설비 예방 진단 시스템"
52,2022,대성지엠텍 주식회사,"MES, 출하제품 자동시스템 구축, 제품 사일로 재고파악 및 원격모니터링"
53,2022,원영화학주식회사,"F/PROOF 생산공정관리시스템, SPC 초중종물관리시스템, 금형전산화관리시스템"
54,2022,㈜신성팩,"MES, ERP시스템 구축"
55,2022,영일기업,금형이력관리 시스템 구축 및 MES 시스템 업그레이드
56,2022,㈜성우,"MES, SCM, 경영자정보 시스템"
57,2022,㈜와이더,"스마트 MES, POP시스템 공급"
58,2022,㈜인터엑스,제조AI솔루션 공급
59,2022,알엠텍㈜,MES시스템 공급
60,2022,썬소프트,MES시스템 공급
