기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
주식회사 뎁스 ,황욱철,경상남도 창원시 의창구 차룡로48번길 52 (팔용동),MES/POP/APS,"SCM/WMS, 제조빅데이터/제조AI","식료품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
닮은꼴소프트,조원중,경기도 부천시 원미구 상일로 120 (상동),MES/POP/APS,ERP,"식료품 제조업, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 제품 제조업"
주식회사 에스브이티,김태훈,경기도 수원시 영통구 광교산로 154-42 (이의동),산업용로봇,"제어시스템/컨트롤러, CPS/디지털트윈, 제조빅데이터/제조AI, AR/VR/MR","금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 산업용 기계 및 장비 수리업"
보성오토메이션(주),김성복,부산광역시 금정구 개좌로 273-20 (회동동),제어시스템/컨트롤러,미등록,전기장비 제조업
(주)스페이스솔루션,송구용,경기도 오산시 수목원로 606 (세교동) 오산씨엘타워 312~314호,MES/POP/APS,미등록,고무 및 플라스틱제품 제조업
주식회사 인텔렉투스,"고선규, 김승욱",서울특별시 강남구 영동대로85길 13 (대치동),CPS/디지털트윈,제조빅데이터/제조AI,"식료품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
(주)랩큐,김한수,서울특별시 영등포구 양평로21길 26(양평동5가) 23층 2301호,제조빅데이터/제조AI,식별시스템/머신비전,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 우성기계,이창우,경기도 파주시 월롱면 홀작로 70-113,AR/VR/MR,"산업용로봇, 스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)지이엔아이,목대균,경기도 안산시 단원구 엠티브이12로22번길 9,스마트장비,제어시스템/컨트롤러,기타 기계 및 장비 제조업
유디에스,함정우,경기도 성남시 수정구 금토로 75 (금토동),PLM/PDM,미등록,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
(주)명산,김판권,경북 영천시 임고면 수평길 108,MES/POP/APS,미등록,"1차 금속 제조업, 기타 기계 및 장비 제조업"
주식회사 시우이엔티,강무성,부산광역시 부산진구 중앙대로 922 (양정동),ERP,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
엠티에스 주식회사,김중언,전라남도 영암군 삼호읍 나불로 163,스마트장비,미등록,"고무 및 플라스틱제품 제조업, 기타 운송장비 제조업"
(주)에스에치테크놀로지,한상진,경기도 안양시 만안구 안양로 111 (안양동),제어시스템/컨트롤러,"QMS/CMMS, 제조빅데이터/제조AI","펄프. 종이 및 종이제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
하이퍼비주얼에이아이,정삼윤,경기도 용인시 기흥구 흥덕2로 15 (영덕동),식별시스템/머신비전,"산업용로봇, 센서/액추에이터","기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
